Report_Date,Country_Region,Province_State,Cases,Deaths,Recovered
2020-01-22,China,Anhui,1,0,0
2020-01-22,China,Beijing,14,0,0
2020-01-22,China,Chongqing,6,0,0
2020-01-22,China,Fujian,1,0,0
2020-01-22,China,Gansu,0,0,0
2020-01-22,China,Guangdong,26,0,0
2020-01-22,China,Guangxi,2,0,0
2020-01-22,China,Guizhou,1,0,0
2020-01-22,China,Hainan,4,0,0
2020-01-22,China,Hebei,1,0,0
2020-01-22,China,Heilongjiang,0,0,0
2020-01-22,China,Henan,5,0,0
2020-01-22,Hong Kong,Hong Kong,0,0,0
2020-01-22,China,Hubei,444,17,28
2020-01-22,China,Hunan,4,0,0
2020-01-22,China,Inner Mongolia,0,0,0
2020-01-22,China,Jiangsu,1,0,0
2020-01-22,China,Jiangxi,2,0,0
2020-01-22,China,Jilin,0,0,0
2020-01-22,China,Liaoning,2,0,0
2020-01-22,Macau,Macau,1,0,0
2020-01-22,China,Ningxia,1,0,0
2020-01-22,China,Qinghai,0,0,0
2020-01-22,China,Shaanxi,0,0,0
2020-01-22,China,Shandong,2,0,0
2020-01-22,China,Shanghai,9,0,0
2020-01-22,China,Shanxi,1,0,0
2020-01-22,China,Sichuan,5,0,0
2020-01-22,Taiwan,Taiwan,1,0,0
2020-01-22,China,Tianjin,4,0,0
2020-01-22,China,Tibet,0,0,0
2020-01-22,US,Washington,1,0,0
2020-01-22,China,Xinjiang,0,0,0
2020-01-22,China,Yunnan,1,0,0
2020-01-22,China,Zhejiang,10,0,0
2020-01-22,Japan,Japan,2,0,0
2020-01-22,Thailand,Thailand,2,0,0
2020-01-22,South Korea,South Korea,1,0,0
2020-01-23,China,Anhui,9,0,0
2020-01-23,China,Beijing,22,0,0
2020-01-23,China,Chongqing,9,0,0
2020-01-23,China,Fujian,5,0,0
2020-01-23,China,Gansu,2,0,0
2020-01-23,China,Guangdong,32,0,2
2020-01-23,China,Guangxi,5,0,0
2020-01-23,China,Guizhou,3,0,0
2020-01-23,China,Hainan,5,0,0
2020-01-23,China,Hebei,1,1,0
2020-01-23,China,Heilongjiang,2,0,0
2020-01-23,China,Henan,5,0,0
2020-01-23,Hong Kong,Hong Kong,2,0,0
2020-01-23,China,Hubei,444,17,28
2020-01-23,China,Hunan,9,0,0
2020-01-23,China,Inner Mongolia,0,0,0
2020-01-23,China,Jiangsu,5,0,0
2020-01-23,China,Jiangxi,7,0,0
2020-01-23,China,Jilin,1,0,0
2020-01-23,China,Liaoning,3,0,0
2020-01-23,Macau,Macau,2,0,0
2020-01-23,China,Ningxia,1,0,0
2020-01-23,China,Qinghai,0,0,0
2020-01-23,China,Shaanxi,3,0,0
2020-01-23,China,Shandong,6,0,0
2020-01-23,China,Shanghai,16,0,0
2020-01-23,China,Shanxi,1,0,0
2020-01-23,China,Sichuan,8,0,0
2020-01-23,Taiwan,Taiwan,1,0,0
2020-01-23,China,Tianjin,4,0,0
2020-01-23,China,Tibet,0,0,0
2020-01-23,US,Washington,1,0,0
2020-01-23,China,Xinjiang,2,0,0
2020-01-23,China,Yunnan,2,0,0
2020-01-23,China,Zhejiang,27,0,0
2020-01-23,Japan,Japan,1,0,0
2020-01-23,Thailand,Thailand,3,0,0
2020-01-23,South Korea,South Korea,1,0,0
2020-01-23,Singapore,Singapore,1,0,0
2020-01-23,Philippines,Philippines,0,0,0
2020-01-23,Malaysia,Malaysia,0,0,0
2020-01-23,Vietnam,Vietnam,2,0,0
2020-01-23,Australia,Australia,0,0,0
2020-01-23,Mexico,Mexico,0,0,0
2020-01-23,Brazil,Brazil,0,0,0
2020-01-23,Colombia,Colombia,0,0,0
2020-01-24,China,Hubei,549,24,31
2020-01-24,China,Guangdong,53,0,2
2020-01-24,China,Zhejiang,43,0,1
2020-01-24,China,Beijing,36,0,1
2020-01-24,China,Chongqing,27,0,0
2020-01-24,China,Hunan,24,0,0
2020-01-24,China,Guangxi,23,0,0
2020-01-24,China,Shanghai,20,0,1
2020-01-24,China,Jiangxi,18,0,0
2020-01-24,China,Sichuan,15,0,0
2020-01-24,China,Shandong,15,0,0
2020-01-24,China,Anhui,15,0,0
2020-01-24,China,Fujian,10,0,0
2020-01-24,China,Henan,9,0,0
2020-01-24,China,Jiangsu,9,0,0
2020-01-24,China,Hainan,8,0,0
2020-01-24,China,Tianjin,8,0,0
2020-01-24,China,Yunnan,5,0,0
2020-01-24,China,Shaanxi,5,0,0
2020-01-24,China,Heilongjiang,4,1,0
2020-01-24,China,Liaoning,4,0,0
2020-01-24,China,Guizhou,3,0,0
2020-01-24,China,Jilin,3,0,0
2020-01-24,Taiwan,Taiwan,3,0,0
2020-01-24,China,Ningxia,2,0,0
2020-01-24,Hong Kong,Hong Kong,2,0,0
2020-01-24,Macau,Macau,2,0,0
2020-01-24,China,Hebei,2,1,0
2020-01-24,China,Gansu,2,0,0
2020-01-24,China,Xinjiang,2,0,0
2020-01-24,China,Shanxi,1,0,0
2020-01-24,China,Inner Mongolia,1,0,0
2020-01-24,China,Qinghai,0,0,0
2020-01-24,US,Washington,1,0,0
2020-01-24,US,Chicago,1,0,0
2020-01-24,Japan,Japan,2,0,0
2020-01-24,Thailand,Thailand,5,0,0
2020-01-24,South Korea,South Korea,2,0,0
2020-01-24,Singapore,Singapore,3,0,0
2020-01-24,Vietnam,Vietnam,2,0,0
2020-01-24,France,France,2,0,0
2020-01-25,China,Hubei,761,40,32
2020-01-25,China,Guangdong,78,0,2
2020-01-25,China,Zhejiang,62,0,1
2020-01-25,China,Chongqing,57,0,0
2020-01-25,China,Hunan,43,0,0
2020-01-25,China,Beijing,41,0,2
2020-01-25,China,Anhui,39,0,0
2020-01-25,China,Shanghai,33,0,1
